question_code,category,question_text
HOUSEHLD,Background,Number in household
RAGECAT,Background,Age of respondent (in age categories)
RSEX,Background,Sex of respondent
RMARST2,Background,Marital/partnership status of respondent
RLIVTOG,Background,Is respondent living with someone household as a couple?
LIVEAREA,Background,How long have you lived in the town where you live now?
PLACELIV,Background,How would you describe the place where you live?
OUTOFNI,Background,Have you lived outside Northern Ireland for more than six months?
ELSEUK,Background,Did you live elsewhere in the United Kingdom?
ROIRELND,Background,Did you live in the Republic of Ireland?
OUTELSE,Background,Did you live outside the UK or Ireland?
TENSHT1,Background,Household tenure
TEA,Background,Age when completed continuous full-time education
HIGHQUAL2,Background,Highest educational qualification of respondent
RECONACT2,Background,Employment status of respondent
EMPST2,Background,Is respondent in paid employment?
ECACT,Background,Is respondent economically active?
NSSEC1,Background,Respondent NS_SEC (Social Economic Classification)
PECONACT2,Background,Employment status of partner
PEMPST2,Background,Is partner in paid employment?
PECACT,Background,Is partner economically active?
NSSEC2,Background,Partner NS_SEC (Social Economic Classification)
RELIGION2,Background,Do you regard yourself as belonging to any particular religion? (Revised classification)
RELIGCAT,Background,Do you regard yourself as belonging to any particular religion? (Classified into 3 categories)
PRTREL2,Background,What is your spouse's/partner's religion? (Revised classification)
PRELCODE,Background,What is your spouse's/partner's religion? (Classified into 3 categories)
FAMRELIG2,Background,What religion were you brought up in? (Revised classification)
FAMRCODE,Background,What religion were you brought up in? (Classified into 3 categories)
CHATTND2,Background,How often do you attend church services/meetings?
PROTCATH,Background,"Do you see yourself as part of the Protestant community, Catholic community, or neither?"
SLFMXSCH,Background,Did you attend a mixed or integrated school in Northern Ireland?
FORMINT,Background,Did you attend a formally integrated school?
CHDMXSCH,Background,Has any child in your care attended a mixed/integrated school in Northern Ireland?
CAREHOME,Background,Is there anyone living with you whom you look after?
CARESEP,Background,Do you provide regular service/help for someone not living with you?
ANYHCOND,Background,Do you have any physical or mental health conditions or illnesses lasting or expected to last for 12 months or more?
HCONDACT,Background,Does your condition or illness reduce your ability to carry-out day-to-day activities?
ANYHCONDA,Background,Does anyone else in your household have any physical or mental health conditions or illnesses lasting or expected to last for 12 months or more?
PERSINC3,Background,Personal income before tax and National Insurance.
HHLDINC3,Background,Household income before tax and National Insurance.
SRINC,Background,Among what income group would you place yourself?
HINCPAST,Background,Has your household's income fallen behind prices over the last year?
PAYBILLSC,Background,How well has your household kept up with bills and credit commitments in the past year?
BILL500,Background,"Could your household afford to pay an unexpected, but necessary, expense of Â£500?"
PAYHEAT,Background,"Did your household turn heating down or off because you could not afford the costs last winter, even though it was too cold in the house/flat?"
ORIENT2,Background,Sexual orientation.
GENDERID4,Background,Were you registered as male or female at birth?
RSECT2,Background,"Work in the public, private or voluntary sector?"
PRGMRISK,Abortion,Should abortion be legal if a doctor says that there is more risk to the life of a pregnant woman if she continues with a pregnancy than if she were to have an abortion?
NOPRISON,Abortion,Should a woman never go to prison for having an abortion?
NOJUSTIF,Abortion,Are there no circumstances where having an abortion is justified?
RGTCHOOS,Abortion,Is it a woman's right to choose whether or not to have an abortion?
ABMEDCR,Abortion,"Should abortion should be a matter for medical regulation, and not criminal law?"
UNFAIRAB,Abortion,Is it unfair that some women feel they have no option to have an abortion because they cannot afford a child?
NIABLAW,Abortion,Did you know that the abortion law in Northern Ireland was changed in 2019?
NIABSERV,Abortion,Did you know how to access abortion services in Northern Ireland?
NIABINFO,Abortion,Does the government provide the right amount of information on abortion services in Northern Ireland?
HEARDAI,Artificial Intelligence,Have you heard of Artificial Intelligence (AI) before today?
LEARNAI,Artificial Intelligence,"In the last year, have you undertaken any training, courses, or self-directed learning related to AI?"
WANTLRNAI,Artificial Intelligence,Would you like to learn more about using AI?
EXPTLRNAI1,Artificial Intelligence,How much do you think you will need to know about AI for work use in the future?
EXPTLRNAI2,Artificial Intelligence,How much do you think you will need to know about AI for personal use in the future?
AI5YEARS,Artificial Intelligence,Will learning how to use AI tools will be essential for most jobs in the next 5 years?
AIWRKEFF,Artificial Intelligence,Could AI could make your work more productive or efficient?
AICUTJOB,Artificial Intelligence,Is AI likely to reduce the number of jobs in the next 5 years?
AIACCWRK,Artificial Intelligence,Will AI make it easier for workplaces to accommodate the needs of people who are currently excluded from the workforce?
AIFAIR,Artificial Intelligence,How concerned are you that AI may not always make decisions that are fair or morally right?
AIPDATA,Artificial Intelligence,How concerned are you that your personal data might be misused in AI systems?
AIENV,Artificial Intelligence,How concerned are you about the environmental impact of the energy used to power AI technologies?
AIADV,Artificial Intelligence,Do the advantages of AI outweigh its potential risks?
AISOC,Artificial Intelligence,"Can AI help solve major societal challenges (e.g., in healthcare, climate, education)?"
RLRELAGO,Community Relations,Are relations between Protestants and Catholics better now than 5 years ago?
RLRELFUT,Community Relations,Will relations between Protestants and Catholics be better in 5 years time?
MXRLGNGH,Community Relations,Would you prefer to live in a neighbourhood with people of only your own religion?
MXRLGWRK,Community Relations,Would you prefer a workplace with people of only your own religion?
OWNMXSCH,Community Relations,Would you prefer a school with children of only your own religion?
REPMURAL,Community Relations,"Have you felt intimidated by republican murals, kerb paintings, or flags?"
REPMUR2,Community Relations,"Have you felt annoyed by republican murals, kerb paintings, or flags?"
LOYMURAL,Community Relations,"Have you felt intimidated by loyalist murals, kerb paintings, or flags?"
LOYMUR2,Community Relations,"Have you felt annoyed by loyalist murals, kerb paintings, or flags?"
SUPPFLAG,Community Relations,Do you support flag flying on lampposts throughout Northern Ireland?
FLAGDOWN,Community Relations,Would you like flags taken down straightaway?
FLAGPUBL,Community Relations,Which of these statements about flags on public buildings in Northern Ireland comes closest to your own view?
WORKCULT2,Community Relations,Is your workplace a place where you can be open about your cultural identity?
NGHCULT2,Community Relations,Is your neighbourhood a place where you can be open about your cultural identity?
SCHLCULT2,Community Relations,Are all your children's schools places where they can be open about their own cultural identity?
NINATIDB,Community Relations,Do you think of yourself as British?
NINATIDI,Community Relations,Do you think of yourself as Irish?
NINATIDNI,Community Relations,Do you think of yourself as Northern Irish?
NINATIDE,Community Relations,Do you think of yourself as English?
NINATIDS,Community Relations,Do you think of yourself as Scottish?
NINATIDW,Community Relations,Do you think of yourself as Welsh?
NINATIDO,Community Relations,Do you think of yourself as another national identity?
NINATIDDK,Community Relations,Do you not know what national identity describes you?
UBELNGH,Community Relations,Do you feel a sense of belonging to this neighbourhood?
INFLLOCL,Community Relations,Do you feel that you have any influence when it comes to any of the local decisions made around here?
UBELNI,Community Relations,Do you feel a sense of belonging to Northern Ireland as a whole?
INFLNI,Community Relations,Do you feel that you have any influence when it comes to any of the decisions made about what happens in Northern Ireland?
COMDIV,Community Relations,"In this area, do Protestants and Catholics tend to go to different local shops or use different GP surgeries and other services?"
LCOPEN,Community Relations,Do you think that leisure centres in this area are 'shared and open' to both Protestants and Catholics?
PARKOPEN,Community Relations,Do you think that leisure centres in this area are 'shared and open' to both Protestants and Catholics?
LIBOPEN,Community Relations,Do you think that libraries in this area are 'shared and open' to both Protestants and Catholics?
SHCNOPEN,Community Relations,Do you think that shopping centres in this area are 'shared and open' to both Protestants and Catholics?
GOGAA,Community Relations,How safe would you feel going to an event in a GAA club (Gaelic Sports club)?
GOOH,Community Relations,How safe  would you feel going to an event in an Orange hall?
GOCSCHL,Community Relations,How safe  would you feel going to an event in a Catholic secondary school?
GOPSCHL,Community Relations,How safe would you feel going to an event in a Protestant secondary school?
FEELCATH,Community Relations,How favourable or unfavourable do you feel about people from the Catholic community?
FEELPROT,Community Relations,How favourable or unfavourable do you feel about people from the Protestant community?
FEELMEG,Community Relations,How favourable or unfavourable do you feel about people from a different ethnic group to yourself?
CTHCRICH,Community Relations,Do the culture and traditions of the Catholic community add to the richness and diversity of Northern Ireland society?
PRCRICH,Community Relations,Do the culture and traditions of the Protestant community add to the richness and diversity of Northern Ireland society?
EMCRICH,Community Relations,Do the culture and traditions of people from different minority ethnic groups add to the richness and diversity of Northern Ireland society?
CULTRESP,Community Relations,Is your own cultural identity is respected by society?
NISAFEWL,Community Relations,Are towns and city centres in Northern Ireland  safe and welcoming places for people of all walks of life?
ISNGNEUT,Community Relations,Is your neighbourhood a neutral space?
NICCPRJ,Community Relations,Have you been aware of cross-community schemes of projects operating in Northern Ireland in the last 5 years?
UCCPRJ2,Community Relations,Have you participated in a cross-community scheme/project in the last 5 years?
BONLEGIT,Community Relations,Are bonfires a legitimate form of cultural celebration?
PLINELIV,Community Relations,How far do you currently live from the nearest Peace Line?
PLINEREM,Community Relations,Should Peace Lines be removed?
HRDCVSS,Community Relations,Aware of support by the Victims and Survivors Service and other organisations?
NINATIDB2,Community Relations,Do you think of yourself as British?
NINATIDI2,Community Relations,Do you think of yourself as Irish?
NINATIDNI2,Community Relations,Do you think of yourself as Northern Irish?
NINATIDE2,Community Relations,Do you think of yourself as English?
