IRBRIT,question,No religion,Occasional or never,Regular
:ie: only,Would willingly accept a Muslim as a resident in their local area,97.84793835562961,94.0622320977721,93.30962595716517
More :ie:,Would willingly accept a Muslim as a resident in their local area,97.44040112574606,88.65171015209997,94.40008544572227
Both equally,Would willingly accept a Muslim as a resident in their local area,94.88849563243103,88.06496328391862,89.96905867004588
More :gb:,Would willingly accept a Muslim as a resident in their local area,88.49696232761565,85.10692217984335,85.93160032923376
:gb: only,Would willingly accept a Muslim as a resident in their local area,88.42865606470292,72.50512480988948,75.33978047512623
:ie: only,Agree that it is our duty to provide protection to refugees,87.47047771389143,73.64077930826842,76.32885097797177
More :ie:,Agree that it is our duty to provide protection to refugees,82.78962525322002,63.34651500944099,82.72834982388034
Both equally,Agree that it is our duty to provide protection to refugees,71.94994336369831,60.10986321843587,76.92519581451415
More :gb:,Agree that it is our duty to provide protection to refugees,71.54407926188125,59.29594590913906,71.12416488363719
:gb: only,Agree that it is our duty to provide protection to refugees,59.5421271355723,41.69208985952483,55.65051400338119
:ie: only,Would prefer to live in a mixed neighbourhood,79.65402675157846,66.75735951134791,70.94681046120407
More :ie:,Would prefer to live in a mixed neighbourhood,92.720160025385,85.17455592695917,88.25640452667636
Both equally,Would prefer to live in a mixed neighbourhood,85.70579581417407,86.5609160635157,85.12003170948046
More :gb:,Would prefer to live in a mixed neighbourhood,80.45875881658225,78.50291772084697,78.27652584033045
:gb: only,Would prefer to live in a mixed neighbourhood,72.03623582320043,58.440112759614216,55.31336331234882
