IRBRIT,question,No degree,Has degree
:ie: only,Would willingly accept a Muslim as a resident in their local area,92.32450684264423,96.67541130549083
More :ie:,Would willingly accept a Muslim as a resident in their local area,90.66367064957007,96.61475638639781
Both equally,Would willingly accept a Muslim as a resident in their local area,88.88507804191313,94.43996740933831
More :gb:,Would willingly accept a Muslim as a resident in their local area,80.37673308881979,91.98668175727475
:gb: only,Would willingly accept a Muslim as a resident in their local area,73.5328209040648,85.27798897209911
:ie: only,Agree that it is our duty to provide protection to refugees,72.42459912142887,83.22234273236975
More :ie:,Agree that it is our duty to provide protection to refugees,70.39583579945523,85.10372256150417
Both equally,Agree that it is our duty to provide protection to refugees,63.76175074183684,80.42104084878234
More :gb:,Agree that it is our duty to provide protection to refugees,57.22886115508086,77.53791652298135
:gb: only,Agree that it is our duty to provide protection to refugees,46.199274470466214,58.152461785069754
:ie: only,Would prefer to live in a mixed neighbourhood,70.22711747845537,74.33009241865186
More :ie:,Would prefer to live in a mixed neighbourhood,80.61974624382061,91.14142379120457
Both equally,Would prefer to live in a mixed neighbourhood,84.47740806335472,89.9716762610965
More :gb:,Would prefer to live in a mixed neighbourhood,75.82417705599543,82.04348249485254
:gb: only,Would prefer to live in a mixed neighbourhood,60.09656813374173,62.975670386328034
