IRBRIT,question,Medium or High Income,Low Income
:ie: only,Would willingly accept a Muslim as a resident in their local area,96.06829361554725,92.17570005830751
More :ie:,Would willingly accept a Muslim as a resident in their local area,94.98738215545305,92.3102086751424
Both equally,Would willingly accept a Muslim as a resident in their local area,92.88060256761662,89.23333606377594
More :gb:,Would willingly accept a Muslim as a resident in their local area,89.57058273151378,77.84233327615868
:gb: only,Would willingly accept a Muslim as a resident in their local area,82.41654232224663,70.34708686451094
:ie: only,Agree that it is our duty to provide protection to refugees,80.83366239648868,73.75953997460708
More :ie:,Agree that it is our duty to provide protection to refugees,80.43928487760338,74.9803387719475
Both equally,Agree that it is our duty to provide protection to refugees,74.24275128748418,70.62910454090189
More :gb:,Agree that it is our duty to provide protection to refugees,72.51738373567433,56.27399825198823
:gb: only,Agree that it is our duty to provide protection to refugees,55.71447178114447,40.309773481162466
:ie: only,Would prefer to live in a mixed neighbourhood,76.22380552948246,64.53532053998461
More :ie:,Would prefer to live in a mixed neighbourhood,89.24641685928226,80.84412696802534
Both equally,Would prefer to live in a mixed neighbourhood,88.90503574482466,84.67203731653211
More :gb:,Would prefer to live in a mixed neighbourhood,81.33196867463795,73.59864964763642
:gb: only,Would prefer to live in a mixed neighbourhood,63.02537619586962,57.9265896152666
