Chart,Question code,First Split,Second Split,N
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/TRAVRES2.html"">TRAVRES2</a>",Alliance,—,1578.4176027311653
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/TRAVRES2.html"">TRAVRES2</a>",DUP,—,891.0583555519788
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/TRAVRES2.html"">TRAVRES2</a>",SDLP,—,722.5716886642717
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/TRAVRES2.html"">TRAVRES2</a>",Sinn Féin,—,1114.1939344094517
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/TRAVRES2.html"">TRAVRES2</a>",UUP,—,728.851594968347
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/TRAVCOLL.html"">TRAVCOLL</a>",Alliance,—,1589.5241663481652
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/TRAVCOLL.html"">TRAVCOLL</a>",DUP,—,906.7041814821175
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/TRAVCOLL.html"">TRAVCOLL</a>",SDLP,—,740.4612043746163
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/TRAVCOLL.html"">TRAVCOLL</a>",Sinn Féin,—,1148.7005024944856
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/TRAVCOLL.html"">TRAVCOLL</a>",UUP,—,742.7129249323469
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/TRAVREL.html"">TRAVREL</a>",Alliance,—,1515.8547147448583
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/TRAVREL.html"">TRAVREL</a>",DUP,—,874.2822949113611
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/TRAVREL.html"">TRAVREL</a>",SDLP,—,696.8294349070321
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/TRAVREL.html"">TRAVREL</a>",Sinn Féin,—,1077.621353653246
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/TRAVREL.html"">TRAVREL</a>",UUP,—,713.283658866935
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/EERES.html"">EERES</a>",Alliance,—,1512.819362002611
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/EERES.html"">EERES</a>",DUP,—,897.617282855458
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/EERES.html"">EERES</a>",SDLP,—,697.5090020095114
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/EERES.html"">EERES</a>",Sinn Féin,—,1020.5942658969351
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/EERES.html"">EERES</a>",UUP,—,730.4330259653469
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/EECOLL.html"">EECOLL</a>",Alliance,—,1511.781862140783
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/EECOLL.html"">EECOLL</a>",DUP,—,915.083860536975
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/EECOLL.html"">EECOLL</a>",SDLP,—,698.9792807295114
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/EECOLL.html"">EECOLL</a>",Sinn Féin,—,1029.9882320114518
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/EECOLL.html"">EECOLL</a>",UUP,—,733.310492710036
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/EEREL.html"">EEREL</a>",Alliance,—,1482.2705415615098
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/EEREL.html"">EEREL</a>",DUP,—,876.6104769983907
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/EEREL.html"">EEREL</a>",SDLP,—,671.7901499056162
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/EEREL.html"">EEREL</a>",Sinn Féin,—,999.1208799849013
Party Dot Plot,"<a href=""https://www.ark.ac.uk/nilt/2025/Background/EEREL.html"">EEREL</a>",UUP,—,699.7913178114856
